population,t,n_risk,deaths,hazard,ci_low,ci_high
jp_ja,0,1346,11,0.008172362555720654,0.004569347123172877,0.014574825052288305
jp_ja,1,1335,80,0.0599250936329588,0.048411418922789246,0.07396422282601808
jp_ja,2,1200,82,0.06833333333333333,0.05539104001027086,0.08403062476688916
jp_ja,3,1066,82,0.07692307692307693,0.06240241519182208,0.09448211799514694
jp_ja,4,915,75,0.08196721311475409,0.06589187779856757,0.10153806877764314
jp_ja,5,788,71,0.0901015228426396,0.07204782397805086,0.11213244641946297
jp_ja,6,651,56,0.08602150537634409,0.06683691424310825,0.11006327047331785
jp_ja,7,546,43,0.07875457875457875,0.05899163209072829,0.10440378942703245
jp_ja,8,456,35,0.07675438596491228,0.05570355336231669,0.10487695957953111
jp_ja,9,388,26,0.06701030927835051,0.046136344357693274,0.09637430280177113
jp_ja,10,329,17,0.05167173252279635,0.03250810857128449,0.08118441063304571
jp_ja,11,275,15,0.05454545454545454,0.03333021820435303,0.08803474312136021
jp_ja,12,219,15,0.0684931506849315,0.04194335464904808,0.10992057021955814
jp_ja,13,175,4,0.022857142857142857,0.008923616207532813,0.057289166500740875
jp_ja,14,152,5,0.03289473684210526,0.01413071279735818,0.0746876771575704
jp_ja,15,124,4,0.03225806451612903,0.012614414984325008,0.08001271108418476
kr_en,0,549,4,0.007285974499089253,0.0028368693326015666,0.01858264757784801
kr_en,1,545,36,0.06605504587155964,0.04809158723762244,0.09009327338518752
kr_en,2,484,46,0.09504132231404959,0.07201080546185434,0.12444968499242426
kr_en,3,416,44,0.10576923076923077,0.07973783737623868,0.13901513993710995
kr_en,4,342,34,0.09941520467836257,0.0720165472496357,0.1357132342457078
kr_en,5,288,28,0.09722222222222222,0.06812274129630477,0.13692547664109692
kr_en,6,248,23,0.09274193548387097,0.06259383727295131,0.13531468935648563
kr_en,7,206,30,0.14563106796116504,0.10395309852917048,0.20028400221729728
kr_en,8,164,15,0.09146341463414634,0.05621141440662995,0.14541678742176062
kr_en,9,138,10,0.07246376811594203,0.03983385638734278,0.1282522340120887
kr_en,10,120,6,0.05,0.023114049304474235,0.10480419464586234
kr_en,11,96,3,0.03125,0.010683876777878007,0.08788826148913696
kr_en,12,86,2,0.023255813953488372,0.006400792019477797,0.08088171408014642
kr_en,13,76,0,0.0,0.0,0.04811526823109757
kr_en,14,70,1,0.014285714285714285,0.0025261814032348645,0.07658369703926908
kr_en,15,61,2,0.03278688524590164,0.009037700815687874,0.11189700776645692
jp_en,0,304,1,0.003289473684210526,0.0005808941273062404,0.018395098720963777
jp_en,1,303,11,0.036303630363036306,0.02038998121039413,0.06382806484333521
jp_en,2,289,12,0.04152249134948097,0.02390937116352683,0.07116455275985017
jp_en,3,271,12,0.04428044280442804,0.02550870073472458,0.07579183018926947
jp_en,4,247,15,0.06072874493927125,0.037143941055805055,0.09776829040819453
jp_en,5,221,17,0.07692307692307693,0.048578577365315144,0.11972479709919678
jp_en,6,199,10,0.05025125628140704,0.027521096295421904,0.09001692351905403
jp_en,7,181,7,0.03867403314917127,0.018857584065879004,0.07766614219487614
jp_en,8,160,5,0.03125,0.013420318754525096,0.07106127810488057
jp_en,9,150,10,0.06666666666666667,0.03661146073480972,0.11836352652481316
jp_en,10,131,7,0.05343511450381679,0.02612180457645892,0.10619344531674911
jp_en,11,119,6,0.05042016806722689,0.023310004458561698,0.10564956624061513
jp_en,12,102,9,0.08823529411764706,0.047115025691464585,0.15924617822079679
jp_en,13,86,3,0.03488372093023256,0.011933581807332512,0.09761032658254476
jp_en,14,74,5,0.06756756756756757,0.029203655548562038,0.14861386104924684
jp_en,15,57,1,0.017543859649122806,0.003103584706680096,0.09290966938262721
